,user_id,parent_asin,title_y,weighted_rating
150,101886,5238,"Gaming Keyboard and Mouse Combo-Rainbow Keyboard &Gaming Mouse LED Backlit 3600DPI Wired Mechanical Feeling Compatible with Windows Mac Xbox one ps4 (Illuminated Keys, White)",4.346749593178455
154,101886,10313,"Logitech G433 7.1 Wired Gaming Headset with DTS Headphone: X 7.1 Surround for PC, PS4, PS4 PRO, Xbox One, Xbox One S, Nintendo Switch – Triple Black",4.137769322303656
156,101886,3147,"Mad Catz RAT 1 Wired Optical USB LED RGB Mouse with 6 Programmable Buttons, Customizable - Black",4.2921646865297145
160,101886,2065,Logitech G402 Hyperion Fury FPS Gaming Mouse,4.573474714723149
161,101886,1159,"Amazon Basics Carrying Case for Nintendo - New 3DS XL, 3DS XL - Black (Officially Licensed by Nintendo)",4.65700020435876
166,31668,1631,The Sims 3 Island Paradise - PC/Mac,4.43151774799553
167,37567,437,Microsoft Xbox 360 Black HDMI Cable (Retail Packaging),4.4203795013421265
168,37567,1933,Xbox One Stereo Headset,4.204280294571165
169,80044,8190,"G.SKILL Crystal Crown Keycaps - Keycap Set with Transparent Layer for Mechanical Keyboards, Full 104 Key, Standard ANSI 104 English (US) Layout - White",4.560089406133573
171,80044,7133,ASUS ROG Chakram Wireless Aura Sync RGB Gaming Mouse Optical Sensor 16000 DPI,4.5169527827398355
172,80044,6152,Deal4GO L - Button Key Ribbon Flex Cable Kit Replacement for Nintendo Switch Joy Con Controller Button,4.590463324024313
174,61509,6536,"KontrolFreek Call of Duty Modern Warfare Performance Thumbsticks for PlayStation 4 (PS4) | 2 Mid-Rise, Convex | Blue/Black",4.532869735394552
179,122211,9481,Razer Kraken V3 Wired USB Gaming Headset: Triforce Titanium 50mm Drivers - THX Spatial Audio - Chroma RGB Lighting - Hybrid Fabric & Leatherette Memory Foam Cushions - Detachable HyperClear Mic,4.211550898265814
180,122211,10632,"Razer Kaira X Wired Headset for Xbox Series X|S, Xbox One, PC, Mac & Mobile Devices: TriForce 50mm Drivers - HyperClear Cardioid Mic - Flowknit Memory Foam Ear Cushions - On-Headset Controls - Black",4.460664419273741
184,122211,7895,"Just Dance 2021 Xbox Series X|S, Xbox One",4.659885765637811
188,122211,9568,"PDP Rock Candy Wired Gaming Switch Pro Controller - Stormin Cherry Red / Clear- Licensed by Nintendo - OLED Compatible - Compact, Durable See Through Travel Controller - Holiday & Birthday Gifts",4.381360095488126
191,122211,8730,Afterglow Deluxe+ LED Wired Gaming Controller - Licensed by Nintendo for Switch and OLED - RGB Hue Color Lights - See through Gamepad Controller - 3.5mm Jack - Dual Vibration - Paddle Buttons,4.389205821593861
193,122211,5836,"BOENFU Carrying Case for Nintendo Switch Bundle Accessories for Nintendo Switch Games Screen Protector,Joy-Con Grips Caps,Controller Case,Sheets,Joy-Con Cases,Play Stand,Portable Strap",4.281892781675376
194,122211,6574,"PDP Gaming MARS Voyage Of The Dead Starter Pack | IR Station, MARS Lightcon, Digital Game: PS5/PS4",3.5675866078357394
199,122211,5585,"Razer BlackWidow Mechanical Gaming Keyboard: Green Mechanical Switches, Tactile & Clicky, Chroma RGB Lighting, Anti-Ghosting, Programmable Macro Functionality",4.6381343055192605
201,122211,10640,"Razer BlackWidow TE Chroma v2 TKL Tenkeyless Mechanical Gaming Keyboard: Green Key Switches, Tactile & Clicky, Chroma RGB Lighting, Magnetic Wrist Rest, Programmable Macros, Classic Black",4.48746848303535
202,122211,7309,Wired Fight Pad Pro - Official Nintendo Switch Controller - Classic Gamecube Style Retro Controller - Perfect for Super Smash Bros & Mario Party - OLED Compatible,4.563871957394188
203,122211,5377,"TALK WORKS Travel Case for Nintendo Switch Carrying Case Storage, Durable Dual Zippers, Rugged Handle, Side Pocket Divider Sleeve (Includes 2 Game Card Holder Cases - Holds up to 8 Game Cards)",4.546624632433165
204,122211,3565,"NUBWO Gaming Headset with Microphone for Pc, Mac, Ps4, Xboxone, Table, Phone(3.5mm Jack Black)",4.050611757171267
207,122211,6665,"Logitech G513 Carbon LIGHTSYNC RGB Mechanical Gaming Keyboard with GX Red Switches - Linear, Black",4.548010440857372
213,71222,8770,Pokémon Shining Pearl - Nintendo Switch,4.778884725402832
214,71222,7746,Pokémon Sword + Pokémon Sword Expansion Pass - Nintendo Switch,4.7240484599112005
215,71222,2033,Pokémon Alpha Sapphire - Nintendo 3DS,4.663920986530577
218,118314,8687,"eXtremeRate Purple Anti-Skid Sweat-Absorbent Controller Grip for Xbox One S, Xbox One X, Xbox One Controller, Professional Textured Soft Rubber Pads Handle Grips for Xbox One Xbox One S/X Controller",4.208515304603913
219,99362,9383,Fortnite Minty Legends Pack - PlayStation 4,4.283479366869328
220,99362,6219,Nintendo Switch Lite - Yellow with SanDisk 128GB MicroSDXC UHS-I Card for Nintendo Switch,4.644453995275155
222,99362,6399,"HEYSTOP Switch Lite Carrying Case for Nintendo Switch Lite with Protective Case, 8 Games Cartridges, Screen Protector, Thumb Grip Caps for Nintendo Switch Lite Accessories Bundle Travel Case",4.677779454293733
223,99362,4998,Mudrunner - American Wilds Edition - PlayStation 4,4.294340955111504
224,99362,10209,Farming Simulator 20 (NSW) - Nintendo Switch,4.561444483480717
227,61370,6172,"ENVEL Gaming Headset for Nintendo Switch, PS4, Xbox One, PS5 Controller, Laptop, Mac, Noise Cancelling PC Headset with Mic, Stereo Surround Sound, Cool LED Light,Comfort Earmuff Black",4.3732449175482
228,90123,935,Grip-iT Analog Stick Covers,4.203126909833573
231,104024,2835,Kootek Vertical Stand for PS4 Slim / Regular Playstation 4 Cooling Fan Controller Charging Station with Game Storage and Dualshock Charger ( Not for PS4 Pro ),4.202497414022471
232,96237,3128,PlayStation 4 Slim 500GB Console [Discontinued],4.550672914850958
235,9214,1171,Sony PS3 Media/Blu-ray Disc Remote Control,4.210070903292816
238,47014,8517,"DAREU Sakura Pink Wireless Wired Gaming Mouse, Dual-Mode Rechargeable 7 Programmable Buttons,10K DPI,RGB and 7 Adjustable DPI Levels up to [150IPS] [1000Hz Polling Rate] for PC Notebook Mac",4.4485919138069425
244,47014,4214,"Amazon Basics Pro Gaming Headset for PC, Switch, Xbox, PS4",3.96041709926069
245,47014,4065,"PDP Xbox One Afterglow AG 6 Wired Gaming Headset, 048-103-NA-BK",4.216588346891218
246,47014,3188,"Amazon Basics Gaming Headset with Mic for Xbox One, PS4 and PC - Green",3.9998942844521546
248,47014,3046,"EPOS Sennheiser GSP 300 Gaming Headset with Noise-Cancelling Mic, Flip-to-Mute, Comfortable Memory Foam Ear Pads, Headphones for PC, Mac, Xbox One, PS4, Nintendo Switch, and Smartphone compatible.",4.377983775604139
252,102590,10096,Nintendo Switch Adventure Pack (Poke Ball Edition) Travel Bag by HORI - Officially Licensed by Nintendo & Pokemon,4.725302766092589
258,23011,2957,Rocket League: Collector's Edition - Nintendo Switch,4.445095271185997
259,23011,1591,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black [Old Model],4.58426741501809
262,51500,3186,NBA 2K17 Standard Edition - PlayStation 4,4.458216775759387
264,90979,8164,"AMVR Handle Attachments Accessories for Quest 2/Quest/Rift S Controllers Extensions, Vr Gorilla Tag Long Arms Extension Grip,Compatible with Oculus/Meta Quest 2 Beat Saber Handle, Supernatural, etc.",4.120560814508499
265,90979,6721,Witcher 3: Wild Hunt Complete Edition - Nintendo Switch,4.650800056231811
266,79520,3788,Xbox Wireless Controller/ PC Computer - Minecraft Creeper Green Special Limited Edition,4.37235139557596
267,108208,4920,DualShock 4 Wireless Controller for PlayStation 4 - Berry Blue,4.580342868946619
268,41417,8338,"Wrist Bands for Just Dance 2024 2023 2022 and for Zumba Burn It Up Compatible with Nintendo Switch for Joy-Cons & Switch OLED Model, Adjustable Elastic Strap, Two Size for Adults and Children, 2 Pack",4.39148819879322
270,41417,4547,Just Dance 2019 - Nintendo Switch Standard Edition,4.563055364650358
273,41417,1680,Just Dance 2014 - Nintendo Wii,4.561799456366518
274,41417,876,CTA Digital Wii Grand Slam Sports Pack (Black),4.291115680463012
275,41417,871,Wii Nunchuk Controller - White,4.573415885849937
276,41417,900,Wii Remote Plus - Pink,4.3850804708531275
281,63085,6236,Zumba Burn It Up (Nintendo Switch),4.458491063883504
284,103654,4690,"Aokin Sensor Bar for Wii, Replacement Wired Infrared Ray Sensor Bar for Nintendo Wii and Wii U Console, Includes Clear Stand",4.6684318810153576
290,103654,235,Super Mario 64 DS,4.555660363657643
291,103654,387,Ultimate Mortal Kombat,4.392827210139896
301,103654,60,Nintendo 64 Transfer Pak,4.0948384044859605
302,103654,40,Sony Playstation DualShock Controller - Gray,4.404194021185665
304,103654,1067,Pokémon - Black Version,4.623143771856619
305,103654,1066,Pokemon White Version,4.621195304100872
306,103654,355,Nintendo DS Lite AC Adapter,4.435091244464539
308,41288,4163,Amazon Basics Mono Gaming Chat Headset Officially Licensed for PlayStation 4,4.041155413296989
310,41288,6614,Fallout 76 - Xbox One Tricentennial Edition,4.147211652879571
312,106185,8834,Wreckfest (PS5),4.432008660196278
314,116023,5531,Dangerous Driving (PS4) - PlayStation 4,4.287817092081073
315,7909,9228,"HEIYING Game Card Case for Switch&Switch OLED Game Card or Micro SD Cards,Carbon Fibre Surface Processes Design Switch Game Card Case with 24 Game Card Slots and 24 Micro SD Card Slots.",4.757883279779231
317,7909,7984,"Accessories Kit for Nintendo Switch Lite - YOOWA Accessories Bundle with Carrying Case, Protective Cover case, 2-Pack Tempered Glass Screen Protector, Adjustable Play Stand, 6 Thumb Grips",4.695704893676606
318,7909,2977,Pokémon Sun and Pokémon Moon Steelbook Dual Pack – Nintendo 3DS (Amazon Exclusive),4.484126385369545
319,110842,7993,"ROCCAT Elo 7.1 Air PC Wireless Gaming Headset, Surround Sound Headphones with Detachable Noise Cancelling Microphone, 50mm Drivers, 24 Hr Battery Life, RGB Lighting, Black",4.123941968203512
320,110842,6269,iMW Carrying Case For Nintendo Switch Lite,4.522501195961958
321,110842,4457,Amazon Basics PlayStation 4 Controller Thumb Grips,4.228142188502163
322,110842,4455,"Amazon Basics Xbox One Controller Thumb Grips - Pack of 2, Orange",4.204529866001586
323,110842,8227,Amazon Basics Controller Battery Pack Charger For Xbox One - Black,4.562953868399397
325,110842,3027,"SteelSeries Rival 500 MMO/MOBA 15-Button Programmable Gaming Mouse - 16,000 CPI, Black",4.364953406373041
326,110842,2610,Razer Wildcat eSports Customizable Premium Controller for Xbox One W/ 4 Programmable Buttons,3.8882149057252318
331,115480,8885,"7KEYS Retro Typewriter Keyboard, Electric Typewriter Vintage with Upgraded Mechanical Classical, Punk Round Keys for Desktop PC/Laptop Mac/Phone(White)",4.286283677573957
335,115480,1141,EastVita New Charger Dock + 4 x Battery for Nintendo Wii Remote,4.016588016846432
337,115480,406,Power Supply 203W AC Adapter XBOX 360 Compatible XENON OR ZEPHYR Models Only,4.290018205696677
338,115480,2213,"DLAND Professional LED Optical 7200 DPI 7 Button USB Wired Gaming Mouse for Pro Game Notebook, PC, Laptop, Computer, Black",4.289925076148471
344,30245,9265,Razer Doubleshot PBT Keycap Upgrade Set for Mechanical & Optical Keyboards: Compatible with Standard 104/105 US and UK layouts - Classic Black,4.48730069703415
347,30245,4069,Razer BlackWidow Ultimate: Esports Gaming Keyboard - Dust and Spill Resistant - Individually Backlit Keys - Razer Green Mechanical Switches (Tactile and Clicky),4.530038474822657
348,30245,8211,"PDP Gaming Bluetooth Enabled Cloud Media Remote Control: Playstation 4, TV",4.215525975909758
349,30245,4576,Razer Huntsman Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Customizable Chroma RGB Lighting - Programmable Macro Functionality - Classic Black,4.668517142646646
351,30245,4453,Amazon Basics PlayStation 4 Controller Thumb Grips,4.228142188502163
355,30245,1877,"Amazon Basics Vertical Stand for Sony PS4 - 13 x 1 x 3 Inches, Black",4.356209246286474
356,30245,2818,"LucidSound LS30 - Wireless Universal Gaming Headset (Black) - PS4, Xbox One, PC, Mobile Devices",3.69871211844435
361,76089,3757,"Amazon Basics Aluminum Controller Charger Stand for Xbox One, Xbox One S, and Xbox One X - 2.6 Foot USB Cable, Black",4.3797609154884904
365,42334,6539,"KontrolFreek Call of Duty Modern Warfare Performance Thumbsticks for Xbox One and Xbox Series X | 2 Mid-Rise, Convex | Blue/Black",4.456985070736421
369,121134,6484,Lego Batman,4.575663702025819
371,54803,9288,DLseego Switch Lite Skin Cute Girl Pattern Full Wrap Skin Protective Film Sticker Design for Nintendo Switch Lite-Pink,4.543901021725973
379,103124,6292,"Hand Grips for Switch and Switch OLED JoyCons, FYOUNG Hand Grips Controllers for Switch Joy Con and Switch OLED Model 2021（4 Pack） (Black-Blue-Red)",4.602591688564797
381,103124,3953,Sonic Forces: Bonus Edition - Playstation 4,4.346359003397367
384,103124,3076,PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,4.774540314735453
388,80077,1587,NCAA Football 14 - Xbox 360,4.438058501860446
389,71488,276,Age of Empires III,4.222685078668598
395,53626,2349,Skylanders SuperChargers Racing Starter Pack - Wii,4.397044321274148
396,53626,1999,Far Cry 4 - PS3 [Digital Code],4.447049312476655
397,53626,300,Daxter,4.424423968903433
403,14594,8163,Wage Pro Universal Gaming Headset - Black/Blue (WMAGY-N116),4.293281484603533
404,14594,10469,PDP AIRLITE Wired Playstation 5 Headset with Noise Cancelling Boom Microphone: PS5/PS4/PS3 Console/PC (Cosmic Red),4.3916818321856015
405,14594,9152,"PDP LVL30 Wired Headset with Single-Sided One Ear Headphone for PlayStation, PS4, PS5 - Mac, Tablet Compatible - Noise-Cancelling Mic - Lightweight, Cool Comfort, Great for Gaming - Black",4.203904844707752
408,126692,1341,HDE 5-Port USB Expansion Hub for Sony Playstation 3 Consoles Compatible with Original PS3 (Fat) and Slim Models,4.230258142524882
410,118797,9079,"Wii Remote Charger, 2 in 1 Charging Station Charger Dock with 2 Pack 2800mAh Rechargeable Battery Fit for Wii/Wii U Remote Controller",4.117817457673735
412,9010,5301,Nyko Power Kit - Rechargeable Battery with Charge Cable for Xbox 360,4.372864356696999
413,88851,2375,Madden NFL 16 - Xbox One,4.445994067458396
414,49819,2760,Gigabyte Mechanical Cherry Red Keyboard (GK-Force K83 RED),4.359633546254873
415,71226,4356,Spyro Reignited Trilogy - PlayStation 4,4.770634147408003
416,102765,2045,Nintendo 3DS Compatible with 3DS / 3DS XL / 2DS AC Adapter,4.779897270734391
417,102765,4202,"2DS Stylus, 10 Pcs Stylus Pens for Nintendo 2DS, FENGWANGLI Plastic Touch Pen Set(5 Colors Available)",4.589946235073994
418,116527,10564,"Logitech G G703 6-Button Wireless Gaming Mouse, USB Black & Logitech G G613 Lightspeed Wireless Gaming Keyboard, Black",4.583833607789457
419,116527,4932,for Honor Marching Fire Edition - Xbox One Standard Edition,4.3361305164178265
420,116527,4748,Razer BlackWidow Elite Mechanical Gaming Keyboard: Green Mechanical Switches - Tactile & Clicky - Chroma RGB Lighting - Magnetic Wrist Rest - Dedicated Media Keys & Dial - USB Passthrough,4.676573717095804
429,28630,2526,Uncharted 4: A Thief's End - PlayStation 4,4.674291796504144
431,28630,2242,Forza Motorsport 6 – Xbox One,4.469490013984338
432,28630,6147,Mortal Kombat X: Greatest Hits - PlayStation 4,4.634970555452834
433,28630,2019,Forza Horizon 2 for Xbox One,4.507321017851415
437,28630,1635,Thief Xbox one,4.227413712233034
438,28630,1337,The Last of Us - PlayStation 3,4.5812189527818665
443,14191,9415,Talkworks Joy Con Charging Dock for Nintendo Switch - Red - Nintendo Switch & PowerA Joy Con Comfort Grips for Nintendo Switch - Red,4.671962650787543
444,14191,7289,Mario Kart 8 Deluxe – Booster Course Pass - Nintendo Switch [Digital Code],4.6724938166016665
445,14191,641,Turtle Beach Ear Force Recon 50P White Stereo Gaming Headset - PS4 and Xbox One (compatible w/ Xbox One controller w/ 3.5mm headset jack),4.2938004513460575
449,14191,1001,Donkey Kong Country Returns,4.556075596408407
451,110584,10745,ASTARRY Wireless Pro Controller Compatible with Switch Lite/Switch OLED (Red),4.39442531632309
453,65873,4036,Red Dead Redemption 2 (PS4),4.66179231488092
454,65873,2797,Nintendo Selects: The Legend of Zelda: Ocarina of Time - 3DS [Digital Code],4.450584023239677
457,65873,2376,Call of Duty: Infinite Warfare - PS4 Legacy Edition,4.3899176619437155
461,65873,1172,Ratchet & Clank Collection,4.526110729300717
469,22945,3167,Skylanders Imaginators Thumpin' Whumpa Islands Adventure Pack,4.563266534485871
471,24977,8176,CALIDAKA VR Facial Interface Bracket & PU Leather Foam Face Pad Replacement Protective Lens Cover for Oculu s Quest 2 VR Headsets Sweat-Proof Comfortable,4.223840835046264
475,81240,6707,"IFYOO PC Steam Game Controller, ONE Pro Wired USB Gaming Gamepad Joystick Compatible with Computer/Laptop(Windows 10/8/7/XP), Android(Phone/Tablet/TV/Box), PS3 - [Black&Silver]",4.126525020243789
476,81240,9896,TALK WORKS Tennis Racket for Nintendo Switch + Switch OLED 2 Pack - Joy-Con Controller Grip Sports Game Accessories for Mario Tennis Aces,4.294343649894784
477,81240,6879,PS2 to HDMI Converter (with Ypbpr HD Signal 100% Enhance Video Quality) Compatible with Sony Playstation 2/ Playstation 3 Convert PS2 to HDMI Signal of Modern HDTV/Monitor/Projector,4.28684569742973
481,81240,4775,IFYOO ZD V-one Wired Gaming Controller USB Gamepad Joystick for PC(Windows XP/7/8/10) & Playstation 3 & Android & Steam (V-one[Black&Blue]),4.206031674094439
482,81240,4164,"Amazon Basics Gaming Headset for PC, Switch, Xbox, PS4",4.207844703617562
484,81240,4162,Amazon Basics Mono Gaming Chat Headset Officially Licensed for PlayStation 4,4.041195722222843
485,81240,4156,"SteelSeries Rival 600 Gaming Mouse - 12,000 CPI TrueMove3Plus Dual Optical Sensor - 0.5 Lift-off Distance - Weight System - RGB Lighting",4.484358207540517
487,81240,9474,"Amazon Basics Controller Charging Station for PlayStation 4 DualShock 4 Controllers - 4 Foot Cable, Black",4.573745842000254
489,81240,2096,Mad Catz M.M.O.TE Tournament Edition Gaming Mouse for PC -Red,4.0181467817069905
490,81240,2970,"SteelSeries Stratus Wireless Gaming Controller for iPhone, iPad, and iPod Touch - Black",3.414557620269693
492,81240,1272,Skylanders Spyro's Adventure Starter Pack - Nintendo Wii,4.503161278975805
495,74793,3482,Cars 3: Driven to Win - Xbox 360,4.5133507347622865
496,34746,45,Donkey Kong 64 - Nintendo 64,4.443416603116366
507,114513,6499,"HXMJ Pink Gaming Mouse,Rechargeable 2.4Ghz Wireless Mice with USB Receiver,7 Colors Backlit,Silent Buttons (D.VA)",4.341882999707346
508,114513,5179,Razer BlackWidow Chroma: Clicky RGB Mechanical Gaming Keyboard - 5 Macro Keys - Razer Green Mechanical Switches (Tactile and Clicky),4.466894269100806
511,125039,3986,"Joycon Charging Dock for Nintendo Switch & Switch OLED, YCCSKY Charger Station for Switch Joy-con with a USB Type-C Charging Cable",4.621811998199579
513,7136,6610,Fallout 4 - Xbox One,4.5701663895959745
519,54536,8952,IOGEAR KeyMander 2 & GKM602R Combo - GE1337P2KIT,3.8246516711273686
520,54536,10596,"ROCCAT Vulcan TKL Linear PC Gaming Keyboard, Titan Switch Mechanical with Per Key AIMO RGB Lighting, Tenkeyless, Compact Design, Anodized Aluminum Top Plate, Detachable USB-C Cable, Black",4.603797568623829
521,54536,7211,Razer Cynosa V2 Gaming Keyboard: Customizable Chroma RGB Lighting - Individually Backlit Keys - Spill-Resistant Design - Programmable Macro Functionality - Dedicated Media Keys,4.570265067469417
522,54536,10185,"NUBWO G06 Wireless Gaming Headset for PS5, PS4, PC Games, 2.4GHz Ultra-Low Latency, Bluetooth 5.0, Soft Memory Earmuffs (Pink)",4.348680309683096
531,46905,4674,"Corsair Strafe RGB MK.2 Mechanical Gaming Keyboard, Backlit RGB LED, Cherry MX Silent (Renewed)",4.388904340818517
534,58215,7591,"CIPON Memory Card Compatible with PS2, 256MB High Speed",4.472934823061303
535,58215,7829,"AUTOUTLET Wii to HDMI Converter 1080P with 6ft High Speed HDMI Cable Wii2 HDMI Adapter Output Video&Audio with 3.5mm Jack Audio, Support All Wii Display 720P, NTSC, Compatible with Full HD Device",4.4898693811454
538,49746,6674,"Corsair Ironclaw RGB - FPS and MOBA Gaming Mouse - 18,000 DPI Optical Sensor - Backlit RGB LED, Black",4.297143257522618
540,49746,2866,"Corsair Scimitar Pro RGB - MMO Gaming Mouse - 16,000 DPI Optical Sensor - 12 Programmable Side Buttons - Black",4.393670176684802
555,4811,7726,"Teyomi Protective Case Compatible with Nintendo Switch Lite, Silicone Protective Cover for Nintendo Switch Lite with Tempered Glass Screen Protector, 4 Pcs Thumb Grips & 2 Game Cartridges(Pink)",4.600373594400751
558,4811,9157,Story of Seasons: Friends of Mineral Town - Nintendo Switch,4.676779824830519
559,4811,5480,Among the Sleep: Enhanced Edition - Nintendo Switch,4.489355553619535
561,4811,7111,Controller Gear Authentic and Officially Licensed Animal Crossing: New Horizons - Outdoor Pattern - Nintendo Switch Lite Skin - Nintendo Switch,4.474546013008737
568,34733,3631,AUSTOR Case for Nintendo New 3DS XL (Black+Rose),4.618056042635645
573,8173,3786,"Corsair Void Pro Surround Gaming Headset - Dolby 7.1 Surround Sound Headphones for PC - Works with Xbox One, PS4, Nintendo Switch, iOS and Android - Red",4.226030614203165
578,8173,1496,"SteelSeries Flux Gaming Headset for PC, Mac, and Mobile Devices (White)",4.285096191692656
584,8173,474,Zoo Tycoon: Complete Collection - PC,4.415877677138633
585,8173,347,The Sims 2 Pets Expansion Pack - PC,4.338631698991673
587,8173,627,Spore - PC/Mac,4.2052660729597084
589,8173,571,The Sims 2: Apartment Life Expansion Pack,4.467471332652391
596,8173,240,The Sims 2 University Expansion Pack - PC,4.284513252645432
598,8173,1047,SimCity 4 Deluxe Edition - PC,4.131323115852792
600,8173,1054,Rollercoaster Tycoon 2: Triple Thrill Pack [Download],3.710021610362576
602,109341,1400,Harvest Moon 3D: A New Beginning - Nintendo 3DS,4.503161278975805
603,109341,2010,Story of Seasons - Nintendo 3DS,4.494340513985354
614,92193,6836,"ZUZONG HDMI Cable for N64, Support 16:9/4:3 Conversion, N64 to HDMI Converter, Composite with N64/GameCube/SNES",4.370130472960549
617,32985,2098,Nintendo Wii U Pro Controller - Black,4.549161953241775
618,32985,1687,Super Mario 3D World - Nintendo Wii U,4.462621509743372
